Date,Temperature [Fahrenheit],DewPoint [Fahrenheit],Humidity [%],SeaLevelPressure [inches],Wind [mph],DayOfWeek,Month
2014-06-05,83,70.0,72.0,29.82,7.0,3,6
2014-06-06,83,70.0,70.0,29.88,7.0,4,6
2014-06-07,83,70.0,71.0,29.89,7.0,5,6
2014-06-08,83,70.0,67.0,29.88,7.0,6,6
2014-06-09,77,71.0,78.0,29.81,4.0,0,6
2014-06-10,78,61.0,64.0,29.85,3.0,1,6
2014-06-11,80,66.0,64.0,29.83,5.0,2,6
2014-06-12,80,72.0,68.0,29.82,8.0,3,6
2014-06-13,79,71.4,75.0,29.95,4.0,4,6
2014-06-14,92,70.8,77.0,29.93,6.0,5,6
2014-06-15,83,70.2,74.5,29.9,9.0,6,6
2014-06-16,84,69.6,72.0,29.99,8.0,0,6
2014-06-17,84,69.0,69.0,29.99,9.0,1,6
2014-06-18,85,72.0,68.0,29.96,9.0,2,6
2014-06-19,84,71.0,68.0,30.0,6.0,3,6
2014-06-20,83,71.0,69.0,30.04,5.0,4,6
2014-06-21,84,72.0,72.0,29.99,6.0,5,6
2014-06-22,83,72.0,70.0,29.9,8.0,6,6
2014-06-23,78,72.0,75.0,29.93,4.0,0,6
2014-06-24,84,72.0,72.0,30.0,4.0,1,6
2014-06-25,80,72.0,77.0,30.01,5.0,2,6
2014-06-26,80,71.0,76.0,29.95,7.0,3,6
2014-06-27,83,72.0,69.0,29.87,8.0,4,6
2014-06-28,86,73.0,69.0,29.88,9.0,5,6
2014-06-29,86,73.0,69.0,29.97,9.0,6,6
2014-06-30,87,71.0,64.0,29.94,8.0,0,6
2014-07-01,86,70.0,64.0,29.92,6.0,1,7
2014-07-02,85,69.0,64.0,30.0,4.0,2,7
2014-07-03,84,69.0,62.0,30.08,3.0,3,7
2014-07-04,82,68.0,67.0,30.15,4.0,4,7
2014-07-05,82,69.0,70.0,30.12,4.0,5,7
2014-07-06,84,70.0,72.0,30.03,5.0,6,7
2014-07-07,85,67.0,61.0,29.97,5.0,0,7
2014-07-08,86,68.0,63.0,29.99,7.0,1,7
